brand,model,price,processor_brand,processor_tier,num_cores,ram_memory,storage_capacity,gpu_brand,is_touch_screen,display_size,os
acer,Acer Extensa EX214-53 Laptop,15196,intel,core i5,12,8,512,intel,FALSE,14,windows
acer,Acer Nitro 16 AN16-41 Gaming Laptop,49396,amd,ryzen 7,8,16,512,nvidia,FALSE,16,windows
acer,Acer Nitro 5 AN515-46 Gaming Laptop,33816,amd,ryzen 5,6,16,1024,nvidia,FALSE,15.6,windows
acer,Acer Nitro 5 AN515-47 2023 Gaming Laptop,26216,amd,ryzen 5,6,16,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro 5 AN515-47 Gaming Laptop,29598,amd,ryzen 7,8,16,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro 5 AN515-47 NH.QL3SI.001 Gaming Laptop,26219,amd,ryzen 5,6,8,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro 5 AN515-47 NH.QL3SI.003 Gaming Laptop,28690,amd,ryzen 7,8,8,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro 5 AN515-58 NH.QFHSI.008 Gaming Laptop,25649,intel,core i5,8,8,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro 5 AN515-58 NH.QLZSI.001 Gaming Laptop,36096,intel,core i7,10,16,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro 5 AN515-58 UN.QFHSI.002 Gaming Laptop,29069,intel,core i5,12,16,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro 5 AN515-58 UN.QFHSI.026 Gaming Laptop,27356,intel,core i5,8,16,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro V ANV15-51 2023 Gaming Laptop,29636,intel,core i5,8,16,512,nvidia,FALSE,15.6,windows
acer,Acer Nitro V ANV15-51 NH.QNASI.001 Gaming Laptop,25076,intel,core i5,8,8,512,nvidia,FALSE,15.6,windows
acer,Acer One 11 Z8-284 UN.013SI.014 Laptop,13984,intel,celeron,2,8,256,intel,FALSE,11.6,windows
acer,Acer One 14 Business Z2-493 Laptop,11019,amd,ryzen 3,2,8,512,amd,FALSE,14,windows
acer,Acer One 14 Z2-493 Business Laptop,12498,amd,ryzen 5,4,8,512,amd,FALSE,14,windows
acer,Acer One 14 Z8-415 2023 Laptop,15576,intel,core i5,4,16,512,intel,FALSE,14,windows
acer,Acer One 14 Z8-415 Laptop,15196,intel,core i5,4,8,512,intel,FALSE,14,windows
acer,Acer One 14 Z8-415UN.599SI.009 Laptop,11396,intel,core i3,2,8,256,intel,FALSE,14,windows
acer,Acer Predator 16 NH.QLUSI.005 Laptop,60796,intel,core i9,24,16,1024,nvidia,FALSE,16,windows
acer,Acer Predator Helios 16 Laptop,94996,intel,core i9,24,32,1024,nvidia,FALSE,16,windows
acer,Acer Predator Helios 16 NH.QJRSI.003 Laptop,70299,intel,core i9,24,16,1024,nvidia,FALSE,16,windows
acer,Acer Predator Helios 16 PH16-71 Gaming Laptop,54492,intel,core i7,16,16,512,nvidia,FALSE,16,windows
acer,Acer Predator Helios 16 PH16-71 Laptop,76034,intel,core i7,16,32,1024,nvidia,FALSE,16,windows
acer,Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop,68396,intel,core i9,24,16,1024,nvidia,FALSE,16,windows
acer,Acer Predator Helios Neo 16 NH.QLTSI.001 Laptop,39896,intel,core i5,14,16,512,nvidia,FALSE,16,windows
acer,Acer Predator Helios Neo 16 NH.QLTSI.002 Laptop,43696,intel,core i7,16,16,512,nvidia,FALSE,16,windows
acer,Acer Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop,54339,intel,core i7,16,16,1024,nvidia,FALSE,16,windows
acer,Acer Predator Helios Neo 16 PHN16-71 Gaming Laptop,45596,intel,core i7,16,16,1024,nvidia,FALSE,16,windows
acer,Acer Predator Helios Neo 16 PHN16-71 Laptop,45596,intel,core i7,16,16,512,nvidia,FALSE,16,windows
acer,Acer Swift Go 14 SFG14-41 NX.KG3SI.003 Laptop,22416,amd,ryzen 5,6,16,512,amd,FALSE,14,windows
acer,Acer Swift Go NXKPZSI002 Laptop,27736,intel,core i5,12,16,512,intel,FALSE,14,windows
acer,Acer TMP214-41-G3 UN.VSQSI.006 Notebook,15956,amd,ryzen 5,6,8,512,amd,FALSE,14,windows
acer,Acer TMP214-41-G3 UN.VSQSI.007 Notebook,14056,amd,ryzen 5,6,16,512,amd,FALSE,14,windows
acer,Acer TravelMate P2 TMP214-53 14 Business Laptop,18996,intel,core i7,4,16,512,intel,FALSE,14,windows
acer,Acer TravelMate P2 TMP214-53 Business Laptop,18996,intel,core i7,4,16,1024,intel,FALSE,14,windows
acer,Acer TravelMate TMP214-53 Business Laptop,14816,intel,core i5,4,16,512,intel,FALSE,14,windows
apple,Apple MacBook Air 15 2023 Laptop,45596,apple,m2,8,8,256,apple,FALSE,15.3,mac
apple,Apple MacBook Air 2020 MGND3HN Laptop,26976,apple,m1,8,8,256,apple,FALSE,13.3,mac
apple,Apple MacBook Air 2022 Laptop,39136,apple,m2,8,8,256,apple,FALSE,13.6,mac
apple,Apple MacBook Pro 14 2023 Laptop,75962,apple,m3,11,8,512,apple,FALSE,14.2,mac
apple,Apple MacBook Pro 16 2023 Laptop,151962,apple,m3,16,8,1024,apple,FALSE,16.2,mac
apple,Apple MacBook Pro 2022 Laptop,41796,apple,m2,8,8,256,apple,FALSE,13.3,mac
asus,Asus CX1101CMA-GJ0004 Chromebook,5696,intel,celeron,2,4,32,intel,FALSE,11.6,chrome
asus,Asus Chromebook 14 CX1400CKA-EK0266 Laptop,7976,intel,celeron,2,8,128,intel,FALSE,14,chrome
